sx,sy,angle,x,y,value,stick_dist
0,0,57344,-0.7071068,-0.7071068,1,1
0,1,57212,-0.7160001,-0.6981001,1,1
0,2,57212,-0.7160001,-0.6981001,1,1
0,3,57212,-0.7160001,-0.6981001,1,1
0,4,57212,-0.7160001,-0.6981001,1,1
0,5,57077,-0.7249994,-0.6887494,1,1
0,6,57077,-0.7249994,-0.6887494,1,1
0,7,56949,-0.7334303,-0.6797646,1,1
0,8,56949,-0.7334303,-0.6797646,1,1
0,9,56949,-0.7334303,-0.6797646,1,1
0,10,56810,-0.7423931,-0.6699645,1,1
0,11,56810,-0.7423931,-0.6699645,1,1
0,12,56685,-0.750359,-0.6610306,1,1
0,13,56685,-0.750359,-0.6610306,1,1
0,14,56685,-0.750359,-0.6610306,1,1
0,15,56544,-0.7592567,-0.6507914,1,1
0,16,56544,-0.7592567,-0.6507914,1,1
0,17,56544,-0.7592567,-0.6507914,1,1
0,18,56423,-0.7667577,-0.6419367,1,1
0,19,56278,-0.775562,-0.6312714,1,1
0,20,56278,-0.775562,-0.6312714,1,1
0,21,56278,-0.775562,-0.6312714,1,1
0,22,56278,-0.775562,-0.6312714,1,1
0,23,56015,-0.791285,-0.6114475,1,1
0,24,56015,-0.791285,-0.6114475,1,1
0,25,56015,-0.791285,-0.6114475,1,1
0,26,56015,-0.791285,-0.6114475,1,1
0,27,56015,-0.791285,-0.6114475,1,1
0,28,55752,-0.806405,-0.5913637,1,1
0,29,55752,-0.806405,-0.5913637,1,1
0,30,55752,-0.806405,-0.5913637,1,1
0,31,55600,-0.8149553,-0.5795238,1,1
0,32,55600,-0.8149553,-0.5795238,1,1
0,33,55492,-0.8209051,-0.5710645,1,1
0,34,55492,-0.8209051,-0.5710645,1,1
0,35,55338,-0.8292664,-0.5588534,1,1
0,36,55338,-0.8292664,-0.5588534,1,1
0,37,55338,-0.8292664,-0.5588534,1,1
0,38,55234,-0.8347726,-0.5505947,1,1
0,39,55078,-0.8429222,-0.5380354,1,1
0,40,55078,-0.8429222,-0.5380354,1,1
0,41,55078,-0.8429222,-0.5380354,1,1
0,42,54979,-0.8479983,-0.529999,1,1
0,43,54821,-0.8559156,-0.5171157,1,1
0,44,54821,-0.8559156,-0.5171157,1,1
0,45,54821,-0.8559156,-0.5171157,1,1
0,46,54661,-0.8637789,-0.503871,1,1
0,47,54567,-0.8682432,-0.4961389,1,1
0,48,54567,-0.8682432,-0.4961389,1,1
0,49,54406,-0.8758383,-0.4826048,1,1
0,50,54406,-0.8758383,-0.4826048,1,1
0,51,54317,-0.8799054,-0.4751489,1,1
0,52,54317,-0.8799054,-0.4751489,1,1
0,53,54154,-0.8872169,-0.4613528,1,1
0,54,54154,-0.8872169,-0.4613528,1,1
0,55,54070,-0.8909061,-0.4541875,1,1
0,56,53906,-0.8979207,-0.4401572,1,1
0,57,53906,-0.8979207,-0.4401572,1,1
0,58,53906,-0.8979207,-0.4401572,1,1
0,59,53663,-0.9079595,-0.4190582,1,1
0,60,53663,-0.9079595,-0.4190582,1,1
0,61,53663,-0.9079595,-0.4190582,1,1
0,62,53423,-0.917345,-0.3980931,1,1
0,63,53423,-0.917345,-0.3980931,1,1
0,64,53256,-0.9235916,-0.3833776,1,1
0,65,53256,-0.9235916,-0.3833776,1,1
0,66,53256,-0.9235916,-0.3833776,1,1
0,67,53188,-0.9260923,-0.3772969,1,1
0,68,53021,-0.9320047,-0.3624463,1,1
